month,solar_avg_rad,NCDC Code,State FIPS,solar_net_gen_all,solar_net_gen_elc,elc_price_all,elc_price_com,elc_price_ind,elc_price_oth,elc_price_res,elc_price_trn,CDD,HDD
1,0.00387,1,1,0.0,0.0,89.4,107.9,53.6,,110.0,,4.0,713.0
2,0.00431,1,1,0.0,0.0,90.1,108.8,52.8,,114.5,,6.0,454.0
3,0.00477,1,1,0.0,0.0,91.0,108.4,55.5,,120.7,,50.0,238.0
4,0.005059999999999999,1,1,0.0,0.0,92.6,110.5,58.7,,123.7,,52.0,108.0
5,0.0049900000000000005,1,1,0.0,0.0,93.2,110.2,60.0,,120.5,,174.0,27.0
6,0.00481,1,1,0.0,0.0,98.4,111.7,64.4,,121.1,,420.0,0.0
7,0.00452,1,1,0.0,0.0,100.4,111.2,65.5,,120.3,,518.0,0.0
8,0.0046,1,1,0.0,0.0,99.8,110.4,63.9,,121.7,,505.0,0.0
9,0.00418,1,1,0.0,0.0,99.6,110.5,63.4,,122.2,,395.0,0.0
10,0.00436,1,1,11000.0,11000.0,98.1,114.9,63.1,,125.1,,150.0,52.0
11,0.00422,1,1,13000.0,13000.0,93.9,113.4,59.5,,122.4,,22.0,253.0
12,0.0035499999999999998,1,1,7000.0,7000.0,97.3,115.8,63.8,,119.6,,9.0,504.0
1,0.00653,2,4,214000.0,213000.0,92.0,95.1,53.8,,108.4,89.3,0.0,507.0
2,0.00666,2,4,265000.0,263000.0,93.6,97.9,53.3,,113.9,88.2,31.0,226.0
3,0.0077599999999999995,2,4,312000.0,310000.0,93.8,96.8,53.9,,116.8,89.1,73.0,164.0
4,0.00847,2,4,336000.0,334000.0,98.4,100.1,56.3,,122.8,86.9,118.0,101.0
5,0.00926,2,4,410000.0,407000.0,107.4,110.0,61.1,,128.7,102.1,236.0,35.0
6,0.00974,2,4,396000.0,394000.0,110.3,111.3,63.9,,124.8,105.8,647.0,0.0
7,0.0076,2,4,411000.0,408000.0,112.5,111.7,67.0,,126.4,110.9,743.0,0.0
8,0.00708,2,4,331000.0,329000.0,111.4,110.2,69.9,,125.0,117.5,599.0,0.0
9,0.0077599999999999995,2,4,306000.0,304000.0,110.4,109.5,67.9,,127.1,106.0,409.0,4.0
10,0.00758,2,4,302000.0,300000.0,103.5,105.5,63.9,,121.0,103.5,281.0,21.0
11,0.00704,2,4,243000.0,242000.0,94.7,95.7,57.0,,116.0,95.7,43.0,188.0
12,0.00626,2,4,241000.0,240000.0,94.6,95.4,58.3,,112.3,88.5,0.0,408.0
1,0.0035,3,5,1000.0,1000.0,76.3,79.2,57.3,,89.3,91.6,0.0,807.0
2,0.00372,3,5,2000.0,2000.0,77.0,80.7,56.3,,91.5,84.9,1.0,521.0
3,0.00417,3,5,2000.0,2000.0,77.6,80.60000000000001,56.8,,96.4,91.8,27.0,338.0
4,0.004900000000000001,3,5,2000.0,2000.0,76.5,80.9,54.2,,100.6,86.5,44.0,133.0
5,0.00462,3,5,2000.0,2000.0,78.9,83.0,57.7,,102.2,86.6,107.0,60.0
6,0.00525,3,5,2000.0,2000.0,85.2,85.7,65.5,,103.4,109.5,410.0,0.0
7,0.00554,3,5,3000.0,3000.0,86.5,83.4,66.3,,103.0,94.0,520.0,0.0
